"state","zcta5","stab","zipname","intptlon","intptlat","pop2k","afact"
"FIPS state","ZIP Census Tabulation Area","State Postal Code","zipname","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","state to zcta5 alloc factor"
"37","27597","NC","ZEBULON",-78.308748,35.850779,17178,0.002134 
"37","27601","NC","RALEIGH",-78.632936,35.772467,10228,0.001271 
"37","27603","NC","RALEIGH",-78.662184,35.690747,31527,0.003917 
"37","27604","NC","RALEIGH",-78.581683,35.819742,32148,0.003994 
"37","27605","NC","RALEIGH",-78.653037,35.790584,4191,0.000521 
"37","27606","NC","RALEIGH",-78.709205,35.760484,43420,0.005394 
"37","27607","NC","RALEIGH",-78.693964,35.803614,18309,0.002275 
"37","27608","NC","RALEIGH",-78.646596,35.808247,10116,0.001257 
"37","27609","NC","RALEIGH",-78.631491,35.848437,32820,0.004077 
"37","27610","NC","RALEIGH",-78.588706,35.7638,43360,0.005387 
"37","27612","NC","RALEIGH",-78.691705,35.850418,27178,0.003376 
"37","27613","NC","RALEIGH",-78.711535,35.903704,36460,0.00453 
"37","27614","NC","RALEIGH",-78.618418,35.937404,11045,0.001372 
"37","27615","NC","RALEIGH",-78.63508,35.892048,40424,0.005022 
"37","27616","NC","RALEIGH",-78.548217,35.862032,21974,0.00273 
"37","27701","NC","DURHAM",-78.897296,35.99698,25096,0.003118 
"37","27703","NC","DURHAM",-78.842836,35.978236,31682,0.003936 
"37","27704","NC","DURHAM",-78.878213,36.038629,26516,0.003294 
"37","27705","NC","DURHAM",-78.950932,36.018297,40713,0.005058 
"37","27706","NC","DURHAM",-78.936221,35.996063,669,0.000083 
"37","27707","NC","DURHAM",-78.935554,35.962024,42671,0.005301 
"37","27712","NC","DURHAM",-78.924634,36.090929,17760,0.002206 
"37","27713","NC","RESEARCH TRIANGL",-78.919715,35.91503,30903,0.003839 
"37","27801","NC","ROCKY MOUNT",-77.769656,35.933258,22292,0.002769 
"37","27803","NC","ROCKY MOUNT",-77.839179,35.924137,21805,0.002709 
"37","27804","NC","WESLEYAN COLLEGE",-77.830201,35.978015,25653,0.003187 
"37","27805","NC","AULANDER",-77.097424,36.230005,3326,0.000413 
"37","27806","NC","AURORA",-76.793758,35.299094,2538,0.000315 
"37","27807","NC","BAILEY",-78.094589,35.802256,5686,0.000706 
"37","27808","NC","BATH",-76.777786,35.468405,2269,0.000282 
"37","27809","NC","BATTLEBORO",-77.775125,36.027354,5162,0.000641 
"37","27810","NC","BELHAVEN",-76.612021,35.528743,4559,0.000566 
"37","27812","NC","BETHEL",-77.3752,35.798015,2892,0.000359 
"37","27813","NC","BLACK CREEK",-77.932864,35.634462,360,0.000045 
"37","27814","NC","BLOUNTS CREEK",-76.939406,35.39986,1531,0.00019 
"37","27816","NC","CASTALIA",-78.076063,36.091339,2064,0.000256 
"37","27817","NC","CHOCOWINITY",-77.091618,35.485363,6127,0.000761 
"37","27818","NC","COMO",-77.041146,36.496872,1421,0.000177 
"37","27819","NC","CONETOE",-77.452751,35.819126,480,0.00006 
"37","27820","NC","CONWAY",-77.235857,36.41836,2669,0.000332 
"37","27821","NC","EDWARD",-76.871298,35.329075,429,0.000053 
"37","27822","NC","ELM CITY",-77.853051,35.815593,7874,0.000978 
"37","27823","NC","ENFIELD",-77.732546,36.20138,8849,0.001099 
"37","27824","NC","MIDDLETOWN",-76.032824,35.492982,1561,0.000194 
"37","27826","NC","FAIRFIELD",-76.261574,35.533425,1215,0.000151 
"37","27827","NC","FALKLAND",-77.50974,35.703932,70,9E-6 
"37","27828","NC","FARMVILLE",-77.587518,35.593768,9055,0.001125 
"37","27829","NC","FOUNTAIN",-77.628168,35.689494,1660,0.000206 
"37","27830","NC","EUREKA",-77.965662,35.549188,5103,0.000634 
"37","27831","NC","GARYSBURG",-77.575076,36.466261,3138,0.00039 
"37","27832","NC","GASTON",-77.673638,36.510058,3144,0.000391 
"37","27834","NC","GREENVILLE",-77.400302,35.615801,43549,0.00541 
"37","27837","NC","GRIMESLAND",-77.222636,35.553633,4377,0.000544 
