GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US27891,27891,ZCTA5 27891,5233,617
8600000US27892,27892,ZCTA5 27892,14281,617
8600000US27893,27893,ZCTA5 27893,39858,940
8600000US27896,27896,ZCTA5 27896,20895,878
8600000US27897,27897,ZCTA5 27897,1797,370
8600000US27909,27909,ZCTA5 27909,40050,29
8600000US27910,27910,ZCTA5 27910,11586,548
8600000US27915,27915,ZCTA5 27915,926,330
8600000US27916,27916,ZCTA5 27916,531,183
8600000US27917,27917,ZCTA5 27917,902,278
8600000US27919,27919,ZCTA5 27919,929,326
8600000US27920,27920,ZCTA5 27920,1258,366
8600000US27921,27921,ZCTA5 27921,4757,467
8600000US27922,27922,ZCTA5 27922,992,215
8600000US27923,27923,ZCTA5 27923,456,172
8600000US27924,27924,ZCTA5 27924,2397,433
8600000US27925,27925,ZCTA5 27925,4036,83
8600000US27926,27926,ZCTA5 27926,1457,259
8600000US27927,27927,ZCTA5 27927,813,184
8600000US27928,27928,ZCTA5 27928,2136,423
8600000US27929,27929,ZCTA5 27929,1026,200
8600000US27932,27932,ZCTA5 27932,12473,469
8600000US27935,27935,ZCTA5 27935,1600,259
8600000US27936,27936,ZCTA5 27936,1163,435
8600000US27937,27937,ZCTA5 27937,4256,378
8600000US27938,27938,ZCTA5 27938,1407,265
8600000US27939,27939,ZCTA5 27939,2592,552
8600000US27941,27941,ZCTA5 27941,646,257
8600000US27942,27942,ZCTA5 27942,1015,274
8600000US27943,27943,ZCTA5 27943,466,243
8600000US27944,27944,ZCTA5 27944,12100,385
8600000US27946,27946,ZCTA5 27946,1415,382
8600000US27947,27947,ZCTA5 27947,1595,418
8600000US27948,27948,ZCTA5 27948,11173,581
8600000US27949,27949,ZCTA5 27949,7154,156
8600000US27950,27950,ZCTA5 27950,2071,291
8600000US27953,27953,ZCTA5 27953,1365,344
8600000US27954,27954,ZCTA5 27954,6334,471
8600000US27956,27956,ZCTA5 27956,311,149
8600000US27957,27957,ZCTA5 27957,1825,369
8600000US27958,27958,ZCTA5 27958,10304,527
8600000US27959,27959,ZCTA5 27959,2827,26
8600000US27960,27960,ZCTA5 27960,486,262
8600000US27962,27962,ZCTA5 27962,7343,404
8600000US27964,27964,ZCTA5 27964,742,272
8600000US27965,27965,ZCTA5 27965,701,255
8600000US27966,27966,ZCTA5 27966,967,305
8600000US27967,27967,ZCTA5 27967,309,130
8600000US27968,27968,ZCTA5 27968,270,268
8600000US27970,27970,ZCTA5 27970,3179,406
8600000US27972,27972,ZCTA5 27972,240,195
8600000US27973,27973,ZCTA5 27973,1246,328
8600000US27974,27974,ZCTA5 27974,1370,337
8600000US27976,27976,ZCTA5 27976,3591,392
8600000US27978,27978,ZCTA5 27978,147,74
8600000US27979,27979,ZCTA5 27979,1787,254
8600000US27980,27980,ZCTA5 27980,2115,462
8600000US27981,27981,ZCTA5 27981,1475,279
8600000US27982,27982,ZCTA5 27982,65,92
8600000US27983,27983,ZCTA5 27983,10188,684
8600000US27985,27985,ZCTA5 27985,339,144
8600000US27986,27986,ZCTA5 27986,3098,546
8600000US28001,28001,ZCTA5 28001,26717,714
8600000US28006,28006,ZCTA5 28006,1278,331
8600000US28007,28007,ZCTA5 28007,687,201
8600000US28009,28009,ZCTA5 28009,1092,206
8600000US28012,28012,ZCTA5 28012,20865,724
8600000US28016,28016,ZCTA5 28016,12936,711
8600000US28017,28017,ZCTA5 28017,689,164
8600000US28018,28018,ZCTA5 28018,5408,750
8600000US28019,28019,ZCTA5 28019,0,12
8600000US28020,28020,ZCTA5 28020,1856,323
8600000US28021,28021,ZCTA5 28021,13574,733
8600000US28023,28023,ZCTA5 28023,14689,1048
8600000US28025,28025,ZCTA5 28025,51996,1471
8600000US28027,28027,ZCTA5 28027,58474,1631
8600000US28031,28031,ZCTA5 28031,25834,365
8600000US28032,28032,ZCTA5 28032,3298,343
8600000US28033,28033,ZCTA5 28033,3358,604
8600000US28034,28034,ZCTA5 28034,17441,792
8600000US28036,28036,ZCTA5 28036,16009,597
8600000US28037,28037,ZCTA5 28037,18822,831
8600000US28039,28039,ZCTA5 28039,103,88
8600000US28040,28040,ZCTA5 28040,8023,899
8600000US28043,28043,ZCTA5 28043,21472,1221
8600000US28052,28052,ZCTA5 28052,34764,1154
8600000US28054,28054,ZCTA5 28054,36934,1031
8600000US28056,28056,ZCTA5 28056,32973,1154
8600000US28071,28071,ZCTA5 28071,2995,567
8600000US28072,28072,ZCTA5 28072,1157,225
8600000US28073,28073,ZCTA5 28073,5602,709
8600000US28075,28075,ZCTA5 28075,16936,880
8600000US28076,28076,ZCTA5 28076,812,471
8600000US28077,28077,ZCTA5 28077,427,132
8600000US28078,28078,ZCTA5 28078,56105,904
